,Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Sex_Code,Embarked_C,Embarked_Q,Embarked_S
0,0.0,3,22.0,1,0,A/5 21171,7.25,,S,0,0,1,0,0,0,0,0,0,1
1,1.0,1,38.0,1,0,PC 17599,71.2833,C85,C,0,0,0,1,0,0,1,1,0,0
2,1.0,3,26.0,0,0,STON/O2. 3101282,7.925,,S,0,1,0,0,0,0,1,0,0,1
3,1.0,1,35.0,1,0,113803,53.1,C123,S,0,0,0,1,0,0,1,0,0,1
4,0.0,3,35.0,0,0,373450,8.05,,S,0,0,1,0,0,0,0,0,0,1
5,0.0,3,26.0,0,0,330877,8.4583,,Q,0,0,1,0,0,0,0,0,1,0
6,0.0,1,54.0,0,0,17463,51.8625,E46,S,0,0,1,0,0,0,0,0,0,1
7,0.0,3,2.0,3,1,349909,21.075,,S,1,0,0,0,0,0,0,0,0,1
8,1.0,3,27.0,0,2,347742,11.1333,,S,0,0,0,1,0,0,1,0,0,1
9,1.0,2,14.0,1,0,237736,30.0708,,C,0,0,0,1,0,0,1,1,0,0
10,1.0,3,4.0,1,1,PP 9549,16.7,G6,S,0,1,0,0,0,0,1,0,0,1
11,1.0,1,58.0,0,0,113783,26.55,C103,S,0,1,0,0,0,0,1,0,0,1
12,0.0,3,20.0,0,0,A/5. 2151,8.05,,S,0,0,1,0,0,0,0,0,0,1
13,0.0,3,39.0,1,5,347082,31.275,,S,0,0,1,0,0,0,0,0,0,1
14,0.0,3,14.0,0,0,350406,7.8542,,S,0,1,0,0,0,0,1,0,0,1
15,1.0,2,55.0,0,0,248706,16.0,,S,0,0,0,1,0,0,1,0,0,1
16,0.0,3,2.0,4,1,382652,29.125,,Q,1,0,0,0,0,0,0,0,1,0
17,1.0,2,31.0,0,0,244373,13.0,,S,0,0,1,0,0,0,0,0,0,1
18,0.0,3,31.0,1,0,345763,18.0,,S,0,0,0,1,0,0,1,0,0,1
19,1.0,3,31.0,0,0,2649,7.225,,C,0,0,0,1,0,0,1,1,0,0
